League Name,Team Name,Country
LALIGA SANTANDER,Barcelona,Spain
LALIGA SANTANDER,Celta Vigo,Spain
LALIGA SANTANDER,Eibar,Spain
LALIGA SANTANDER,Espanyol,Spain
LALIGA SANTANDER,Getafe,Spain
LALIGA SANTANDER,Granada,Spain
LALIGA SANTANDER,Leganés,Spain
LALIGA SANTANDER,Levante,Spain
LALIGA SANTANDER,Mallorca,Spain
LALIGA SANTANDER,Osasuna,Spain
LALIGA SANTANDER,Real Betis,Spain
LALIGA SANTANDER,Real Madrid,Spain
LALIGA SANTANDER,Real Sociedad,Spain
LALIGA SANTANDER,Sevilla,Spain
LALIGA SANTANDER,Valencia,Spain
LALIGA SANTANDER,Valladolid,Spain
LALIGA SANTANDER,Villarreal,Spain
LALIGA 1 | 2 | 3,Albacete,Spain
LALIGA 1 | 2 | 3,Alcorcón,Spain
LALIGA 1 | 2 | 3,Almería,Spain
LALIGA 1 | 2 | 3,Cádiz,Spain
LALIGA 1 | 2 | 3,Elche,Spain
LALIGA 1 | 2 | 3,Extremadura,Spain
LALIGA 1 | 2 | 3,Fuenlabrada,Spain
LALIGA 1 | 2 | 3,Girona,Spain
LALIGA 1 | 2 | 3,Huesca,Spain
LALIGA 1 | 2 | 3,La Coruña,Spain
LALIGA 1 | 2 | 3,Las Palmas,Spain
LALIGA 1 | 2 | 3,Lugo,Spain
LALIGA 1 | 2 | 3,Málaga,Spain
LALIGA 1 | 2 | 3,Mirandés,Spain
LALIGA 1 | 2 | 3,Numancia,Spain
LALIGA 1 | 2 | 3,Ponferradina,Spain
LALIGA 1 | 2 | 3,Real Oviedo,Spain
LALIGA 1 | 2 | 3,Racing Santander,Spain
LALIGA 1 | 2 | 3,Rayo Vallecano,Spain
LALIGA 1 | 2 | 3,Sporting de Gijón,Spain
LALIGA 1 | 2 | 3,Tenerife,Spain
LALIGA 1 | 2 | 3,Zaragoza,Spain
ALLSVENSKAN,AFC Eskilstuna,Sweden
ALLSVENSKAN,AIK,Sweden
ALLSVENSKAN,BK Häcken,Sweden
ALLSVENSKAN,Djurgårdens IF,Sweden
ALLSVENSKAN,Falkenbergs FF,Sweden
ALLSVENSKAN,GIF Sundsvall,Sweden
ALLSVENSKAN,Hammarby IF,Sweden
ALLSVENSKAN,Helsingborgs IF,Sweden
ALLSVENSKAN,IF Elfsborg,Sweden
ALLSVENSKAN,IFK Göteborg,Sweden
ALLSVENSKAN,IFK Norrköping,Sweden
ALLSVENSKAN,IK Sirius,Sweden
ALLSVENSKAN,Kalmar FF,Sweden
ALLSVENSKAN,Malmö FF,Sweden
ALLSVENSKAN,Örebro SK,Sweden
ALLSVENSKAN,Östersunds FK,Sweden
RAIFFEISEN SUPER LEAGUE,BSC Young Boys,Switzerland
RAIFFEISEN SUPER LEAGUE,FC Basel,Switzerland
RAIFFEISEN SUPER LEAGUE,FC Lugano,Switzerland
RAIFFEISEN SUPER LEAGUE,FC Luzern,Switzerland
RAIFFEISEN SUPER LEAGUE,FC Sion,Switzerland
RAIFFEISEN SUPER LEAGUE,FC St. Gallen,Switzerland
RAIFFEISEN SUPER LEAGUE,FC Thun,Switzerland
RAIFFEISEN SUPER LEAGUE,FC Zürich,Switzerland
RAIFFEISEN SUPER LEAGUE,Neuchâtel Xamax,Switzerland
RAIFFEISEN SUPER LEAGUE,Servette FC,Switzerland
SUPER LIG,Alanyaspor,Turkey
SUPER LIG,Antalyaspor,Turkey
SUPER LIG,Beşiktaş Istanbul,Turkey
SUPER LIG,Çaykur Rizespor,Turkey
SUPER LIG,Denizlispor,Turkey
SUPER LIG,Fenerbahçe Istanbul,Turkey
SUPER LIG,Galatasaray Istanbul,Turkey
SUPER LIG,Gazişehir Gaziantep FK,Turkey
SUPER LIG,Gençlerbirliği Ankara,Turkey
SUPER LIG,Göztepe Izmir,Turkey
SUPER LIG,Istanbul Başakşehir FK,Turkey
SUPER LIG,Kasımpaşa Istanbul,Turkey
SUPER LIG,Kayserispor,Turkey
SUPER LIG,Konyaspor,Turkey
SUPER LIG,MKE Ankaragücü,Turkey
SUPER LIG,Sivasspor,Turkey
SUPER LIG,Trabzonspor,Turkey
SUPER LIG,Yeni Malatyaspor,Turkey
MAJOR LEAGUE SOCCER,Atlanta United FC,USA
MAJOR LEAGUE SOCCER,Chicago Fire,USA
MAJOR LEAGUE SOCCER,Colorado Rapids,USA
MAJOR LEAGUE SOCCER,Columbus Crew SC,USA
MAJOR LEAGUE SOCCER,D.C. United,USA
MAJOR LEAGUE SOCCER,FC Cincinnati,USA
MAJOR LEAGUE SOCCER,FC Dallas,USA
MAJOR LEAGUE SOCCER,Houston Dynamo,USA
MAJOR LEAGUE SOCCER,LA Galaxy,USA
MAJOR LEAGUE SOCCER,Los Angeles FC,USA
MAJOR LEAGUE SOCCER,Minnesota United FC,USA
MAJOR LEAGUE SOCCER,Montreal Impact,USA
MAJOR LEAGUE SOCCER,New England Revolution,USA
MAJOR LEAGUE SOCCER,New York City FC,USA
MAJOR LEAGUE SOCCER,New York Red Bulls,USA
MAJOR LEAGUE SOCCER,Orlando City,USA
MAJOR LEAGUE SOCCER,Philadelphia Union,USA
MAJOR LEAGUE SOCCER,Portland Timbers,USA
MAJOR LEAGUE SOCCER,Real Salt Lake,USA
MAJOR LEAGUE SOCCER,San Jose Earthquakes,USA
MAJOR LEAGUE SOCCER,Seattle Sounders FC,USA
MAJOR LEAGUE SOCCER,Sporting Kansas City,USA
MAJOR LEAGUE SOCCER,Toronto FC,USA
MAJOR LEAGUE SOCCER,Vancouver Whitecaps FC,USA
REST OF THE WORLD,AEK Athens,
REST OF THE WORLD,Al Ain FC,
REST OF THE WORLD,CSKA Moscow,
REST OF THE WORLD,Dinamo Kiev,
REST OF THE WORLD,Dinamo Zagreb,
REST OF THE WORLD,HJK Helsinki,
REST OF THE WORLD,Kaizer Chiefs,
REST OF THE WORLD,Viktoria Plzeň,
REST OF THE WORLD,Lokomotiv Moscow,
REST OF THE WORLD,Olympiacos CFP,
REST OF THE WORLD,Orlando Pirates,
REST OF THE WORLD,Panathinaikos,
REST OF THE WORLD,PAOK,
REST OF THE WORLD,Shakhtar Donetsk,
REST OF THE WORLD,Slavia Praha,
REST OF THE WORLD,Spartak Moscow,
REST OF THE WORLD,Sparta Praha,
NATIONAL TEAMS (MEN),Argentina,
NATIONAL TEAMS (MEN),Australia,
NATIONAL TEAMS (MEN),Austria,
NATIONAL TEAMS (MEN),Belgium,
NATIONAL TEAMS (MEN),Bolivia,
NATIONAL TEAMS (MEN),Brazil,
NATIONAL TEAMS (MEN),Bulgaria,
NATIONAL TEAMS (MEN),Cameroon,
NATIONAL TEAMS (MEN),Canada,
NATIONAL TEAMS (MEN),Chile,
NATIONAL TEAMS (MEN),China,
NATIONAL TEAMS (MEN),Colombia,
NATIONAL TEAMS (MEN),Côte d’Ivoire,
NATIONAL TEAMS (MEN),Czech Republic,
NATIONAL TEAMS (MEN),Denmark,
NATIONAL TEAMS (MEN),Ecuador,
NATIONAL TEAMS (MEN),Egypt,
NATIONAL TEAMS (MEN),England,
NATIONAL TEAMS (MEN),Finland,
NATIONAL TEAMS (MEN),France,
NATIONAL TEAMS (MEN),Germany,
NATIONAL TEAMS (MEN),Greece,
NATIONAL TEAMS (MEN),Hungary,
NATIONAL TEAMS (MEN),Iceland,
NATIONAL TEAMS (MEN),India,
NATIONAL TEAMS (MEN),Ireland,
NATIONAL TEAMS (MEN),Italy,
NATIONAL TEAMS (MEN),Mexico,
NATIONAL TEAMS (MEN),Netherlands,
NATIONAL TEAMS (MEN),New Zealand,
NATIONAL TEAMS (MEN),Northern Ireland,
NATIONAL TEAMS (MEN),Norway,
NATIONAL TEAMS (MEN),Paraguay,
NATIONAL TEAMS (MEN),Peru,
NATIONAL TEAMS (MEN),Poland,
NATIONAL TEAMS (MEN),Portugal,
NATIONAL TEAMS (MEN),Romania,
NATIONAL TEAMS (MEN),Russia,
NATIONAL TEAMS (MEN),Scotland,
NATIONAL TEAMS (MEN),Slovenia,
NATIONAL TEAMS (MEN),South Africa,
NATIONAL TEAMS (MEN),Spain,
NATIONAL TEAMS (MEN),Sweden,
NATIONAL TEAMS (MEN),Switzerland,
NATIONAL TEAMS (MEN),Turkey,
NATIONAL TEAMS (MEN),United States,
NATIONAL TEAMS (MEN),Uruguay,
NATIONAL TEAMS (MEN),Venezuela,
NATIONAL TEAMS (MEN),Wales,
NATIONAL TEAMS (WOMEN),Australia,
NATIONAL TEAMS (WOMEN),Brazil,
NATIONAL TEAMS (WOMEN),Canada,
NATIONAL TEAMS (WOMEN),China PR,
NATIONAL TEAMS (WOMEN),England,
NATIONAL TEAMS (WOMEN),France,
NATIONAL TEAMS (WOMEN),Germany,
NATIONAL TEAMS (WOMEN),Mexico,
NATIONAL TEAMS (WOMEN),Netherlands,
NATIONAL TEAMS (WOMEN),New Zealand,
NATIONAL TEAMS (WOMEN),Norway,
NATIONAL TEAMS (WOMEN),Scotland,
NATIONAL TEAMS (WOMEN),Spain,
NATIONAL TEAMS (WOMEN),Sweden,
NATIONAL TEAMS (WOMEN),United States,
