"club","average_value_per_club","league_name"
"CD Tenerife",1043611.11111111,"Spanish Segunda División "
"CD Tondela",1084776.11940299,"Portuguese Liga ZON SAGRES "
"CD Universidad de Concepción",347105.263157895,"Chilian Campeonato Nacional "
"CE Sabadell FC",0,"Spanish Segunda División "
"Celtic",2196935.48387097,"Scottish Premiership "
"Central Coast Mariners",251776.315789474,"Australian Hyundai A-League "
"Central Córdoba",492857.142857143,"Argentina Primera División  "
"Cerezo Osaka",361538.461538462,"Japanese J. League Division 1 "
"Cesena",399305.555555556,"Italian Serie B "
"CF Fuenlabrada",631250,"Spanish Segunda División "
"CF Rayo Majadahonda",1044230.76923077,"Spanish Segunda División "
"CF Reus Deportiu",828636.363636364,"Spanish Segunda División "
"CFR Cluj",987500,"Romanian Liga I "
"Chacarita Juniors",386904.761904762,"Argentina Primera División  "
"Chamois Niortais Football Club",420728.155339806,"French Ligue 2 "
"Changchun Yatai FC",171666.666666667,"Chinese Super League "
"Chapecoense",1020000,"Campeonato Brasileiro Série A "
"Charlton Athletic",481745.283018868,"English League Championship "
"Chelsea",8793593.75,"English Premier League "
"Cheltenham Town",168860.759493671,"English League Two "
"Chemnitzer FC",320555.555555556,"German 3. Bundesliga "
"Chesterfield",256384.615384615,"English League Two "
"Chicago Fire",503750,"USA Major League Soccer "
"Chievo Verona",993785.714285714,"Italian Serie B "
"Chile",0,"International"
"China PR",0,"International"
"Chindia Târgovişte",445000,"Romanian Liga I "
"Chivas USA",0,"USA Major League Soccer "
"Chongqing Dangdai Lifan FC SWM Team",143750,"Chinese Super League "
"Cittadella",342702.702702703,"Italian Serie B "
"Clermont Foot 63",424823.529411765,"French Ligue 2 "
"Club América",1280696.20253165,"Mexican Liga MX "
"Club Atlas",770769.230769231,"Mexican Liga MX "
"Club Atlético Aldosivi",566000,"Argentina Primera División  "
"Club Atlético Banfield",757794.117647059,"Argentina Primera División  "
"Club Atlético Colón",1052538.46153846,"Argentina Primera División  "
"Club Atlético Huracán",1014761.9047619,"Argentina Primera División  "
"Club Atlético Lanús",1218670.88607595,"Argentina Primera División  "
"Club Atlético Sarmiento",425000,"Argentina Primera División  "
"Club Atlético Talleres",844054.054054054,"Argentina Primera División  "
"Club Atlético Temperley",367051.282051282,"Argentina Primera División  "
"Club Atlético Tigre",748666.666666667,"Argentina Primera División  "
"Club Brugge KV",3043645.83333333,"Belgian Jupiler Pro League "
"Club Deportes Temuco",431041.666666667,"Chilian Campeonato Nacional "
"Club León",731343.28358209,"Mexican Liga MX "
"Club Necaxa",866777.777777778,"Mexican Liga MX "
"Club Olimpo",323750,"Argentina Primera División  "
"Club Tijuana",665813.953488372,"Mexican Liga MX "
"Clube Sport Marítimo",993602.941176471,"Portuguese Liga ZON SAGRES "
"Colchester United",290201.612903226,"English League Two "
"Colo-Colo",946597.222222222,"Chilian Campeonato Nacional "
"Colombia",0,"International"
"Colorado Rapids",539797.297297297,"USA Major League Soccer "
"Columbus Crew SC",837323.943661972,"USA Major League Soccer "
"Coquimbo Unido",472272.727272727,"Chilian Campeonato Nacional "
"Córdoba CF",459444.444444444,"Spanish Segunda División "
"Coritiba",2265000,"Campeonato Brasileiro Série A "
"Cork City",152400,"Rep. Ireland Airtricity League "
"Cortuluá",423018.867924528,"Colombian Liga Postobón "
"Cosenza",712857.142857143,"Italian Serie B "
"Côte d'Ivoire",0,"International"
"Coventry City",357982.456140351,"English League One "
"Cracovia",394506.172839506,"Polish T-Mobile Ekstraklasa "
"Crawley Town",222666.666666667,"English League Two "
"Crewe Alexandra",158690.476190476,"English League Two "
"Criciúma",1925000,"Campeonato Brasileiro Série B "
"Crotone",661400,"Italian Serie B "
"Crucero del Norte",184000,"Argentina Primera División  "
"Cruz Azul",1629528.30188679,"Mexican Liga MX "
"Cruzeiro",1960625,"Campeonato Brasileiro Série A "
"Crystal Palace",2241056.33802817,"English Premier League "
"Cúcuta Deportivo",307777.777777778,"Colombian Liga Postobón "
"Curicó Unido",270250,"Chilian Campeonato Nacional "
"Czech Republic",0,"International"
"Daegu FC",405465.11627907,"Korean K League Classic "
"Dalian YiFang FC",2308809.52380952,"Chinese Super League "
"Dalkurd FF",299444.444444444,"Swedish Allsvenskan "
"Damac FC",195714.285714286,"Saudi Abdul L. Jameel League "
"DC United",1150873.01587302,"USA Major League Soccer "
"Defensa y Justicia",946467.391304348,"Argentina Primera División  "
"Denizlispor",1218000,"Turkish Süper Lig "
"Deportes Iquique",243852.459016393,"Chilian Campeonato Nacional "
"Deportes Tolima",555217.391304348,"Colombian Liga Postobón "
"Deportivo Alavés",2632750,"Spain Primera Division "
"Deportivo Cali",891553.398058252,"Colombian Liga Postobón "
"Deportivo de La Coruña",2097222.22222222,"Spanish Segunda División "
"Deportivo Ñublense",0,"Chilian Campeonato Nacional "
"Deportivo Pasto",310636.363636364,"Colombian Liga Postobón "
"Deportivo San Marcos de Arica",197857.142857143,"Chilian Campeonato Nacional "
"Deportivo Toluca",405625,"Mexican Liga MX "
"Derby County",1294350.64935065,"English League Championship "
"Derry City",121770.833333333,"Rep. Ireland Airtricity League "
"Dijon FCO",1089391.89189189,"French Ligue 1 "
"Dinamo Bucureşti",451500,"Romanian Liga I "
"Dinamo Moscow",878500,"Russian Premier League "
"Dinamo Zagreb",3571206.89655172,"Croatian Prva HNL "
"Djurgårdens IF",446265.82278481,"Swedish Allsvenskan "
"Doncaster Rovers",273333.333333333,"English League One "
"Dorados de Sinaloa",478000,"Mexican Liga MX "
"Drogheda United",63829.7872340426,"Rep. Ireland Airtricity League "
"DSC Arminia Bielefeld",724907.407407407,"German 2. Bundesliga "
"Dundalk",223676.470588235,"Rep. Ireland Airtricity League "
"Dynamo Kyiv",4811071.42857143,"Ukrainian Premier League "
"Ecuador",0,"International"
"Egypt",0,"International"
"Eintracht Braunschweig",642087.912087912,"German 3. Bundesliga "
"Eintracht Frankfurt",3516542.55319149,"German 1. Bundesliga "
"Elche CF",736129.032258064,"Spanish Segunda División "
"Empoli",1328461.53846154,"Italian Serie B "
"En Avant de Guingamp",1829214.28571429,"French Ligue 2 "
"Envigado FC",468500,"Colombian Liga Postobón "
"Esbjerg fB",302013.888888889,"Danish Superliga "
"Eskişehirspor",511111.111111111,"Turkish Süper Lig "
"ESTAC Troyes",596604.938271605,"French Ligue 2 "
"Estudiantes de La Plata",900468.75,"Argentina Primera División  "
"Ettifaq FC",279838.709677419,"Saudi Abdul L. Jameel League "
"Everton",5983440.86021505,"English Premier League "
"Évian Thonon Gaillard FC",291718.75,"French Ligue 2 "
"Excelsior",544785.714285714,"Holland Eredivisie "
"Exeter City",181483.516483516,"English League Two "
"Extremadura UD",722250,"Spanish Segunda División "
"Falkenbergs FF",155612.244897959,"Swedish Allsvenskan "
"Famalicão",1521250,"Portuguese Liga ZON SAGRES "
"FC Admira Wacker Mödling",317500,"Austrian Football Bundesliga "
"FC Anzhi Makhachkala",757674.418604651,"Russian Premier League "
"FC Arouca",757222.222222222,"Portuguese Liga ZON SAGRES "
"FC Augsburg",2050287.35632184,"German 1. Bundesliga "
"FC Barcelona",13470689.6551724,"Spain Primera Division "
"FC Barcelona B",858035.714285714,"Spanish Segunda División "
"FC Basel 1893",1646437.5,"Swiss Super League "
"FC Bayern München",12486533.3333333,"German 1. Bundesliga "
"FC Botoşani",347307.692307692,"Romanian Liga I "
"FC Carl Zeiss Jena",338981.481481481,"German 3. Bundesliga "
"FC Chambly Oise",377142.857142857,"French Ligue 2 "
"FC Cincinnati",656875,"USA Major League Soccer "
"FC Dallas",927647.058823529,"USA Major League Soccer "
"FC Dordrecht",0,"Holland Eredivisie "
"FC Emmen",536000,"Holland Eredivisie "
"FC Energie Cottbus",302333.333333333,"German 3. Bundesliga "
"FC Erzgebirge Aue",465774.647887324,"German 2. Bundesliga "
"FC Girondins de Bordeaux",2954824.56140351,"French Ligue 1 "
"FC Groningen",1149363.63636364,"Holland Eredivisie "
"FC Hansa Rostock",418902.43902439,"German 3. Bundesliga "
"FC Helsingør",173055.555555556,"Danish Superliga "
"FC Hermannstadt",194285.714285714,"Romanian Liga I "
"FC Ingolstadt 04",921352.941176471,"German 3. Bundesliga "
"FC Juárez",465000,"Mexican Liga MX "
"FC København",1363354.43037975,"Danish Superliga "
"FC Krasnodar",724117.647058823,"Russian Premier League "
"FC Lausanne-Sport",335500,"Swiss Super League "
"FC Lorient",1129340.65934066,"French Ligue 2 "
"FC Lugano",576973.684210526,"Swiss Super League "
"FC Luzern",422580.64516129,"Swiss Super League "
"FC Metz",1036504.85436893,"French Ligue 1 "
"FC Midtjylland",784011.627906977,"Danish Superliga "
"FC Nantes",2332818.18181818,"French Ligue 1 "
"FC Nordsjælland",388307.692307692,"Danish Superliga "
"FC Orenburg",490000,"Russian Premier League "
"FC Paços de Ferreira",1079179.10447761,"Portuguese Liga ZON SAGRES "
"FC Penafiel",0,"Portuguese Liga ZON SAGRES "
"FC Porto",5582471.26436782,"Portuguese Liga ZON SAGRES "
"FC Pro Vercelli 1892",344044.117647059,"Italian Serie B "
"FC Red Bull Salzburg",1833727.27272727,"Austrian Football Bundesliga "
"FC Rostov",749333.333333333,"Russian Premier League "
"FC Rot-Weiß Erfurt",305294.117647059,"German 3. Bundesliga "
"FC Schalke 04",5257634.40860215,"German 1. Bundesliga "
"FC Seoul",497777.777777778,"Korean K League Classic "
"FC Sion",783793.103448276,"Swiss Super League "
"FC Sochaux-Montbéliard",430283.018867925,"French Ligue 2 "
"FC St. Gallen",464268.292682927,"Swiss Super League "
"FC St. Pauli",738095.238095238,"German 2. Bundesliga "
"FC Thun",256467.391304348,"Swiss Super League "
"FC Tokyo",322244.897959184,"Japanese J. League Division 1 "
"FC Tom Tomsk",438333.333333333,"Russian Premier League "
"FC Tosno",759090.909090909,"Russian Premier League "
"FC Twente",979852.941176471,"Holland Eredivisie "
"FC Ufa",541463.414634146,"Russian Premier League "
"FC Ural Yekaterinburg",464655.172413793,"Russian Premier League "
"FC Utrecht",1423333.33333333,"Holland Eredivisie "
"FC Vestsjælland",0,"Danish Superliga "
"FC Viitorul",763611.111111111,"Romanian Liga I "
"FC Voluntari",394642.857142857,"Romanian Liga I "
"FC Wacker Innsbruck",403529.411764706,"Austrian Football Bundesliga "
"FC Würzburger Kickers",504692.307692308,"German 3. Bundesliga "
"FC Zürich",368611.111111111,"Swiss Super League "
"FCSB (Steaua)",1910000,"Romanian Liga I "
"Fenerbahçe SK",2406195.65217391,"Turkish Süper Lig "
"Feyenoord",2742959.18367347,"Holland Eredivisie "
"Figueirense",2300000,"Campeonato Brasileiro Série A "
"Finland",0,"International"
"Finn Harps",106923.076923077,"Rep. Ireland Airtricity League "
"Fiorentina",4322500,"Italian Serie A "
"FK Austria Wien",609072.164948454,"Austrian Football Bundesliga "
"FK Bodø/Glimt",289225.352112676,"Norwegian Eliteserien "
"FK Haugesund",386477.272727273,"Norwegian Eliteserien "
"Fleetwood Town",276732.673267327,"English League One "
"Fluminense",1455000,"Campeonato Brasileiro Série A "
"Foggia",482000,"Italian Serie B "
"Football Bourg En Bresse Peronnas 01",526296.296296296,"French Ligue 2 "
"Forest Green Rovers",293571.428571429,"English League Two "
"Fortaleza CEIF",205000,"Colombian Liga Postobón "
"Fortuna Düsseldorf",1562979.7979798,"German 1. Bundesliga "
"Fortuna Sittard",847500,"Holland Eredivisie "
"Frosinone",1078083.33333333,"Italian Serie B "
"FSV Frankfurt",262500,"German 2. Bundesliga "
"FSV Zwickau",379594.594594595,"German 3. Bundesliga "
"Fulham",2008894.73684211,"English League Championship "
"Galatasaray SK",2156160.71428571,"Turkish Süper Lig "
"Gamba Osaka",565166.666666667,"Japanese J. League Division 1 "
"Gangwon FC",400416.666666667,"Korean K League Classic "
"Gaz Metan Mediaş",350833.333333333,"Romanian Liga I "
"Gaziantepspor",591081.081081081,"Turkish Süper Lig "
"Gazişehir Gaziantep F.K.",395000,"Turkish Süper Lig "
"Gefle IF",158375,"Swedish Allsvenskan "
"Gençlerbirliği SK",890178.571428571,"Turkish Süper Lig "
"Genoa",3079146.34146341,"Italian Serie A "
"Getafe CF",2937769.23076923,"Spain Primera Division "
"GFC Ajaccio",486938.775510204,"French Ligue 2 "
"Gil Vicente FC",514062.5,"Portuguese Liga ZON SAGRES "
"Gillingham",261435.643564356,"English League One "
"Gimnasia y Esgrima La Plata",584329.896907217,"Argentina Primera División  "
"Gimnàstic de Tarragona",1124649.12280702,"Spanish Segunda División "
"Girona FC",1569533.33333333,"Spanish Segunda División "
"GKS Bełchatów",0,"Polish T-Mobile Ekstraklasa "
"Go Ahead Eagles",255781.25,"Holland Eredivisie "
"Godoy Cruz",601625,"Argentina Primera División  "
"Goiás",2567500,"Campeonato Brasileiro Série A "
"Górnik Łęczna",199375,"Polish T-Mobile Ekstraklasa "
"Górnik Zabrze",359791.666666667,"Polish T-Mobile Ekstraklasa "
"Göztepe SK",648035.714285714,"Turkish Süper Lig "
"Granada CF",1696907.21649485,"Spain Primera Division "
"Grasshopper Club Zürich",573915.662650602,"Swiss Super League "
"Greece",0,"International"
"Grêmio",2025000,"Campeonato Brasileiro Série A "
"Grenoble Foot 38",455000,"French Ligue 2 "
"Grimsby Town",155740.740740741,"English League Two "
"Guadalajara",1142388.88888889,"Mexican Liga MX "
"Guangzhou Evergrande Taobao FC",1684565.2173913,"Chinese Super League "
"Guangzhou R&F FC",125277.777777778,"Chinese Super League "
"GwangJu FC",365957.446808511,"Korean K League Classic "
"Gyeongnam FC",378888.888888889,"Korean K League Classic "
"Hajer",89166.6666666667,"Saudi Abdul L. Jameel League "
"Hallescher FC",365000,"German 3. Bundesliga "
"Hamburger SV",2227233.00970874,"German 2. Bundesliga "
"Hamilton Academical FC",184554.455445545,"Scottish Premiership "
"Hammarby IF",443369.565217391,"Swedish Allsvenskan "
"Hannover 96",1651546.39175258,"German 2. Bundesliga "
"Hartlepool United",121900,"English League Two "
"Heart of Midlothian",703461.538461538,"Scottish Premiership "
"Hebei China Fortune FC",172500,"Chinese Super League "
"Hellas Verona",1284722.22222222,"Italian Serie A "
"Helsingborgs IF",243125,"Swedish Allsvenskan "
"Henan Jianye FC",1147058.82352941,"Chinese Super League "
"Heracles Almelo",794770.642201835,"Holland Eredivisie "
"Hertha BSC",3776590.90909091,"German 1. Bundesliga "
"Hibernian",730000,"Scottish Premiership "
"HJK Helsinki",288384.615384615,"Finnish Veikkausliiga "
"Hobro IK",197000,"Danish Superliga "
"Hokkaido Consadole Sapporo",471071.428571429,"Japanese J. League Division 1 "
"Holstein Kiel",742788.461538462,"German 2. Bundesliga "
"Houston Dynamo",920546.875,"USA Major League Soccer "
"Huddersfield Town",1304428.57142857,"English League Championship "
"Hull City",1058118.27956989,"English League Championship "
"Hungary",0,"International"
"Iceland",0,"International"
"IF Brommapojkarna",85500,"Swedish Allsvenskan "
"IF Elfsborg",397077.922077922,"Swedish Allsvenskan "
"IFK Göteborg",370606.060606061,"Swedish Allsvenskan "
"IFK Norrköping",486833.333333333,"Swedish Allsvenskan "
"IK Sirius",285645.161290323,"Swedish Allsvenskan "
"IK Start",243818.181818182,"Norwegian Eliteserien "
"Incheon United FC",306000,"Korean K League Classic "
"Independiente",2545253.16455696,"Argentina Primera División  "
"Independiente Medellín",754791.666666667,"Colombian Liga Postobón "
"Independiente Santa Fe",751785.714285714,"Colombian Liga Postobón "
"India",0,"International"
"Inter",8166266.66666667,"Italian Serie A "
"Internacional",1889285.71428571,"Campeonato Brasileiro Série A "
"Ipswich Town",827352.941176471,"English League One "
"Itagüí Leones FC",315937.5,"Colombian Liga Postobón "
"Jagiellonia Białystok",355569.620253165,"Polish T-Mobile Ekstraklasa "
"Jaguares de Chiapas",506333.333333333,"Mexican Liga MX "
"Jaguares de Córdoba",409019.607843137,"Colombian Liga Postobón "
"Jeju United FC",506885.245901639,"Korean K League Classic "
"Jeonbuk Hyundai Motors",783658.536585366,"Korean K League Classic "
"Jeonnam Dragons",549596.774193548,"Korean K League Classic "
"Jiangsu Suning FC",184782.608695652,"Chinese Super League "
"Joinville",1370000,"Campeonato Brasileiro Série B "
"Jönköpings Södra IF",333750,"Swedish Allsvenskan "
"Júbilo Iwata",190166.666666667,"Japanese J. League Division 1 "
"Junior FC",1030307.69230769,"Colombian Liga Postobón "
"Juventus",13718534.4827586,"Italian Serie A "
"KAA Gent",2405000,"Belgian Jupiler Pro League "
"Kaizer Chiefs",548571.428571429,"South African Premier Division "
"Kalmar FF",289230.769230769,"Swedish Allsvenskan "
"Kardemir Karabükspor",507173.913043478,"Turkish Süper Lig "
"Karlsruher SC",458500,"German 2. Bundesliga "
"KAS Eupen",834166.666666667,"Belgian Jupiler Pro League "
"Kashima Antlers",806034.482758621,"Japanese J. League Division 1 "
"Kashiwa Reysol",807195.12195122,"Japanese J. League Division 1 "
"Kasimpaşa SK",807460.317460318,"Turkish Süper Lig "
"Kawasaki Frontale",628648.648648649,"Japanese J. League Division 1 "
"Kayserispor",1417553.19148936,"Turkish Süper Lig "
"KFC Uerdingen 05",432058.823529412,"German 3. Bundesliga "
"Kilmarnock",417477.064220183,"Scottish Premiership "
"Korona Kielce",298680.555555556,"Polish T-Mobile Ekstraklasa "
"KRC Genk",2359912.28070175,"Belgian Jupiler Pro League "
"Kristiansund BK",311538.461538462,"Norwegian Eliteserien "
"Krylya Sovetov Samara",769772.727272727,"Russian Premier League "
"KSV Cercle Brugge",644700,"Belgian Jupiler Pro League "
"Kuban Krasnodar",293235.294117647,"Russian Premier League "
"KV Kortrijk",771029.411764706,"Belgian Jupiler Pro League "
"KV Mechelen",706506.024096386,"Belgian Jupiler Pro League "
"KV Oostende",943541.666666667,"Belgian Jupiler Pro League "
"La Berrichonne de Châteauroux",302916.666666667,"French Ligue 2 "
"La Equidad",415797.101449275,"Colombian Liga Postobón "
"LA Galaxy",932288.13559322,"USA Major League Soccer "
"LASK Linz",585595.238095238,"Austrian Football Bundesliga "
"Latina",329324.324324324,"Italian Serie B "
"Lazio",6156063.82978723,"Italian Serie A "
"Le Havre AC",458173.076923077,"French Ligue 2 "
"Le Mans FC",463333.333333333,"French Ligue 2 "
"Lecce",502631.578947368,"Italian Serie A "
"Lech Poznań",647954.545454545,"Polish T-Mobile Ekstraklasa "
"Lechia Gdańsk",605229.885057471,"Polish T-Mobile Ekstraklasa "
"Leeds United",979563.106796116,"English League Championship "
"Legia Warszawa",755701.754385965,"Polish T-Mobile Ekstraklasa "
"Leicester City",4010923.91304348,"English Premier League "
"Leones Negros de la UdeG",0,"Mexican Liga MX "
"Levante UD",3031294.11764706,"Spain Primera Division "
"Leyton Orient",156132.075471698,"English League Two "
"Lillestrøm SK",301445.78313253,"Norwegian Eliteserien "
"Limerick FC",68070.1754385965,"Rep. Ireland Airtricity League "
"Lincoln City",416842.105263158,"English League One "
"Liverpool",6798657.40740741,"English Premier League "
"Livingston FC",276923.076923077,"Scottish Premiership "
"Livorno",335000,"Italian Serie B "
