"club","average_wage_per_club","league_name"
"Damac FC",3000,"Saudi Abdul L. Jameel League "
"DC United",3746.03174603175,"USA Major League Soccer "
"Defensa y Justicia",2521.73913043478,"Argentina Primera División  "
"Denizlispor",7000,"Turkish Süper Lig "
"Deportes Iquique",721.311475409836,"Chilian Campeonato Nacional "
"Deportes Tolima",1492.75362318841,"Colombian Liga Postobón "
"Deportivo Alavés",7725,"Spain Primera Division "
"Deportivo Cali",2339.80582524272,"Colombian Liga Postobón "
"Deportivo de La Coruña",7194.44444444444,"Spanish Segunda División "
"Deportivo Ñublense",0,"Chilian Campeonato Nacional "
"Deportivo Pasto",818.181818181818,"Colombian Liga Postobón "
"Deportivo San Marcos de Arica",535.714285714286,"Chilian Campeonato Nacional "
"Deportivo Toluca",2984.375,"Mexican Liga MX "
"Derby County",7714.28571428571,"English League Championship "
"Derry City",802.083333333333,"Rep. Ireland Airtricity League "
"Dijon FCO",4162.16216216216,"French Ligue 1 "
"Dinamo Bucureşti",1400,"Romanian Liga I "
"Dinamo Moscow",6333.33333333333,"Russian Premier League "
"Dinamo Zagreb",1000,"Croatian Prva HNL "
"Djurgårdens IF",1962.0253164557,"Swedish Allsvenskan "
"Doncaster Rovers",1609.52380952381,"English League One "
"Dorados de Sinaloa",1000,"Mexican Liga MX "
"Drogheda United",702.127659574468,"Rep. Ireland Airtricity League "
"DSC Arminia Bielefeld",3296.2962962963,"German 2. Bundesliga "
"Dundalk",897.058823529412,"Rep. Ireland Airtricity League "
"Dynamo Kyiv",1000,"Ukrainian Premier League "
"Ecuador",0,"International"
"Egypt",0,"International"
"Eintracht Braunschweig",3098.9010989011,"German 3. Bundesliga "
"Eintracht Frankfurt",13138.2978723404,"German 1. Bundesliga "
"Elche CF",3258.06451612903,"Spanish Segunda División "
"Empoli",5086.53846153846,"Italian Serie B "
"En Avant de Guingamp",5028.57142857143,"French Ligue 2 "
"Envigado FC",975,"Colombian Liga Postobón "
"Esbjerg fB",1291.66666666667,"Danish Superliga "
"Eskişehirspor",4962.96296296296,"Turkish Süper Lig "
"ESTAC Troyes",3209.87654320988,"French Ligue 2 "
"Estudiantes de La Plata",4187.5,"Argentina Primera División  "
"Ettifaq FC",2709.67741935484,"Saudi Abdul L. Jameel League "
"Everton",30935.4838709677,"English Premier League "
"Évian Thonon Gaillard FC",3093.75,"French Ligue 2 "
"Excelsior",1600,"Holland Eredivisie "
"Exeter City",1274.72527472527,"English League Two "
"Extremadura UD",2450,"Spanish Segunda División "
"Falkenbergs FF",714.285714285714,"Swedish Allsvenskan "
"Famalicão",3550,"Portuguese Liga ZON SAGRES "
"FC Admira Wacker Mödling",1348.21428571429,"Austrian Football Bundesliga "
"FC Anzhi Makhachkala",7372.09302325581,"Russian Premier League "
"FC Arouca",944.444444444444,"Portuguese Liga ZON SAGRES "
"FC Augsburg",7816.09195402299,"German 1. Bundesliga "
"FC Barcelona",64885.0574712644,"Spain Primera Division "
"FC Barcelona B",1982.14285714286,"Spanish Segunda División "
"FC Basel 1893",8825,"Swiss Super League "
"FC Bayern München",43613.3333333333,"German 1. Bundesliga "
"FC Botoşani",1615.38461538462,"Romanian Liga I "
"FC Carl Zeiss Jena",1166.66666666667,"German 3. Bundesliga "
"FC Chambly Oise",1142.85714285714,"French Ligue 2 "
"FC Cincinnati",1875,"USA Major League Soccer "
"FC Dallas",2988.23529411765,"USA Major League Soccer "
"FC Dordrecht",0,"Holland Eredivisie "
"FC Emmen",1571.42857142857,"Holland Eredivisie "
"FC Energie Cottbus",1000,"German 3. Bundesliga "
"FC Erzgebirge Aue",1352.11267605634,"German 2. Bundesliga "
"FC Girondins de Bordeaux",11447.3684210526,"French Ligue 1 "
"FC Groningen",3854.54545454545,"Holland Eredivisie "
"FC Hansa Rostock",1121.9512195122,"German 3. Bundesliga "
"FC Helsingør",1222.22222222222,"Danish Superliga "
"FC Hermannstadt",1000,"Romanian Liga I "
"FC Ingolstadt 04",5588.23529411765,"German 3. Bundesliga "
"FC Juárez",3000,"Mexican Liga MX "
"FC København",6569.62025316456,"Danish Superliga "
"FC Krasnodar",5441.17647058824,"Russian Premier League "
"FC Lausanne-Sport",1866.66666666667,"Swiss Super League "
"FC Lorient",3802.1978021978,"French Ligue 2 "
"FC Lugano",1907.89473684211,"Swiss Super League "
"FC Luzern",1817.20430107527,"Swiss Super League "
"FC Metz",3330.09708737864,"French Ligue 1 "
"FC Midtjylland",4604.6511627907,"Danish Superliga "
"FC Nantes",7636.36363636364,"French Ligue 1 "
"FC Nordsjælland",1823.07692307692,"Danish Superliga "
"FC Orenburg",1200,"Russian Premier League "
"FC Paços de Ferreira",4074.62686567164,"Portuguese Liga ZON SAGRES "
"FC Penafiel",0,"Portuguese Liga ZON SAGRES "
"FC Porto",17149.4252873563,"Portuguese Liga ZON SAGRES "
"FC Pro Vercelli 1892",1073.52941176471,"Italian Serie B "
"FC Red Bull Salzburg",8045.45454545455,"Austrian Football Bundesliga "
"FC Rostov",4950,"Russian Premier League "
"FC Rot-Weiß Erfurt",1294.11764705882,"German 3. Bundesliga "
"FC Schalke 04",18623.6559139785,"German 1. Bundesliga "
"FC Seoul",2466.66666666667,"Korean K League Classic "
"FC Sion",4264.36781609195,"Swiss Super League "
"FC Sochaux-Montbéliard",2075.47169811321,"French Ligue 2 "
"FC St. Gallen",2256.09756097561,"Swiss Super League "
"FC St. Pauli",3428.57142857143,"German 2. Bundesliga "
"FC Thun",2108.69565217391,"Swiss Super League "
"FC Tokyo",1469.38775510204,"Japanese J. League Division 1 "
"FC Tom Tomsk",1000,"Russian Premier League "
"FC Tosno",9181.81818181818,"Russian Premier League "
"FC Twente",4647.05882352941,"Holland Eredivisie "
"FC Ufa",2170.73170731707,"Russian Premier League "
"FC Ural Yekaterinburg",2534.48275862069,"Russian Premier League "
"FC Utrecht",4925.92592592593,"Holland Eredivisie "
"FC Vestsjælland",0,"Danish Superliga "
"FC Viitorul",2055.55555555556,"Romanian Liga I "
"FC Voluntari",1214.28571428571,"Romanian Liga I "
"FC Wacker Innsbruck",2176.47058823529,"Austrian Football Bundesliga "
"FC Würzburger Kickers",1338.46153846154,"German 3. Bundesliga "
"FC Zürich",2041.66666666667,"Swiss Super League "
"FCSB (Steaua)",5363.63636363636,"Romanian Liga I "
"Fenerbahçe SK",16869.5652173913,"Turkish Süper Lig "
"Feyenoord",7622.44897959184,"Holland Eredivisie "
"Figueirense",3833.33333333333,"Campeonato Brasileiro Série A "
"Finland",0,"International"
"Finn Harps",1000,"Rep. Ireland Airtricity League "
"Fiorentina",20892.8571428571,"Italian Serie A "
"FK Austria Wien",3628.86597938144,"Austrian Football Bundesliga "
"FK Bodø/Glimt",845.070422535211,"Norwegian Eliteserien "
"FK Haugesund",1181.81818181818,"Norwegian Eliteserien "
"Fleetwood Town",1495.0495049505,"English League One "
"Fluminense",8111.11111111111,"Campeonato Brasileiro Série A "
"Foggia",1600,"Italian Serie B "
"Football Bourg En Bresse Peronnas 01",1296.2962962963,"French Ligue 2 "
"Forest Green Rovers",2714.28571428571,"English League Two "
"Fortaleza CEIF",652.173913043478,"Colombian Liga Postobón "
"Fortuna Düsseldorf",7212.12121212121,"German 1. Bundesliga "
"Fortuna Sittard",2714.28571428571,"Holland Eredivisie "
"Frosinone",3883.33333333333,"Italian Serie B "
"FSV Frankfurt",772.727272727273,"German 2. Bundesliga "
"FSV Zwickau",1054.05405405405,"German 3. Bundesliga "
"Fulham",11642.1052631579,"English League Championship "
"Galatasaray SK",16160.7142857143,"Turkish Süper Lig "
"Gamba Osaka",2366.66666666667,"Japanese J. League Division 1 "
"Gangwon FC",1250,"Korean K League Classic "
"Gaz Metan Mediaş",1416.66666666667,"Romanian Liga I "
"Gaziantepspor",3108.10810810811,"Turkish Süper Lig "
"Gazişehir Gaziantep F.K.",2400,"Turkish Süper Lig "
"Gefle IF",825,"Swedish Allsvenskan "
"Gençlerbirliği SK",3500,"Turkish Süper Lig "
"Genoa",9573.17073170732,"Italian Serie A "
"Getafe CF",10230.7692307692,"Spain Primera Division "
"GFC Ajaccio",3020.40816326531,"French Ligue 2 "
"Gil Vicente FC",1500,"Portuguese Liga ZON SAGRES "
"Gillingham",1287.12871287129,"English League One "
"Gimnasia y Esgrima La Plata",2185.56701030928,"Argentina Primera División  "
"Gimnàstic de Tarragona",3403.50877192982,"Spanish Segunda División "
"Girona FC",9680,"Spanish Segunda División "
"GKS Bełchatów",0,"Polish T-Mobile Ekstraklasa "
"Go Ahead Eagles",531.25,"Holland Eredivisie "
"Godoy Cruz",2191.66666666667,"Argentina Primera División  "
"Goiás",3500,"Campeonato Brasileiro Série A "
"Górnik Łęczna",750,"Polish T-Mobile Ekstraklasa "
"Górnik Zabrze",1111.11111111111,"Polish T-Mobile Ekstraklasa "
"Göztepe SK",4464.28571428571,"Turkish Süper Lig "
"Granada CF",6082.47422680412,"Spain Primera Division "
"Grasshopper Club Zürich",3132.53012048193,"Swiss Super League "
"Greece",0,"International"
"Grêmio",21555.5555555556,"Campeonato Brasileiro Série A "
"Grenoble Foot 38",1250,"French Ligue 2 "
"Grimsby Town",1407.40740740741,"English League Two "
"Guadalajara",7688.88888888889,"Mexican Liga MX "
"Guangzhou Evergrande Taobao FC",3652.17391304348,"Chinese Super League "
"Guangzhou R&F FC",1611.11111111111,"Chinese Super League "
"GwangJu FC",1063.82978723404,"Korean K League Classic "
"Gyeongnam FC",851.851851851852,"Korean K League Classic "
"Hajer",500,"Saudi Abdul L. Jameel League "
"Hallescher FC",1044.44444444444,"German 3. Bundesliga "
"Hamburger SV",7757.28155339806,"German 2. Bundesliga "
"Hamilton Academical FC",980.19801980198,"Scottish Premiership "
"Hammarby IF",1695.65217391304,"Swedish Allsvenskan "
"Hannover 96",8731.9587628866,"German 2. Bundesliga "
"Hartlepool United",680,"English League Two "
"Heart of Midlothian",2410.25641025641,"Scottish Premiership "
"Hebei China Fortune FC",1666.66666666667,"Chinese Super League "
"Hellas Verona",6583.33333333333,"Italian Serie A "
"Helsingborgs IF",1333.33333333333,"Swedish Allsvenskan "
"Henan Jianye FC",3411.76470588235,"Chinese Super League "
"Heracles Almelo",3091.74311926606,"Holland Eredivisie "
"Hertha BSC",12056.8181818182,"German 1. Bundesliga "
"Hibernian",3766.66666666667,"Scottish Premiership "
"HJK Helsinki",1000,"Finnish Veikkausliiga "
"Hobro IK",1127.27272727273,"Danish Superliga "
"Hokkaido Consadole Sapporo",1285.71428571429,"Japanese J. League Division 1 "
"Holstein Kiel",3576.92307692308,"German 2. Bundesliga "
"Houston Dynamo",3125,"USA Major League Soccer "
"Huddersfield Town",6904.7619047619,"English League Championship "
"Hull City",4322.58064516129,"English League Championship "
"Hungary",0,"International"
"Iceland",0,"International"
"IF Brommapojkarna",366.666666666667,"Swedish Allsvenskan "
"IF Elfsborg",2025.97402597403,"Swedish Allsvenskan "
"IFK Göteborg",1787.87878787879,"Swedish Allsvenskan "
"IFK Norrköping",1677.77777777778,"Swedish Allsvenskan "
"IK Sirius",1000,"Swedish Allsvenskan "
"IK Start",872.727272727273,"Norwegian Eliteserien "
"Incheon United FC",985.714285714286,"Korean K League Classic "
"Independiente",7215.18987341772,"Argentina Primera División  "
"Independiente Medellín",1805.55555555556,"Colombian Liga Postobón "
"Independiente Santa Fe",4957.14285714286,"Colombian Liga Postobón "
"India",0,"International"
"Inter",30253.3333333333,"Italian Serie A "
"Internacional",20571.4285714286,"Campeonato Brasileiro Série A "
"Ipswich Town",3941.17647058824,"English League One "
"Itagüí Leones FC",1000,"Colombian Liga Postobón "
"Jagiellonia Białystok",1253.16455696203,"Polish T-Mobile Ekstraklasa "
"Jaguares de Chiapas",1166.66666666667,"Mexican Liga MX "
"Jaguares de Córdoba",1058.82352941176,"Colombian Liga Postobón "
"Jeju United FC",1295.08196721311,"Korean K League Classic "
"Jeonbuk Hyundai Motors",3634.14634146341,"Korean K League Classic "
"Jeonnam Dragons",1145.16129032258,"Korean K League Classic "
"Jiangsu Suning FC",2434.78260869565,"Chinese Super League "
"Joinville",2800,"Campeonato Brasileiro Série B "
"Jönköpings Södra IF",1000,"Swedish Allsvenskan "
"Júbilo Iwata",1000,"Japanese J. League Division 1 "
"Junior FC",1800,"Colombian Liga Postobón "
"Juventus",55551.724137931,"Italian Serie A "
"KAA Gent",9602.40963855422,"Belgian Jupiler Pro League "
"Kaizer Chiefs",1897.95918367347,"South African Premier Division "
"Kalmar FF",1410.25641025641,"Swedish Allsvenskan "
"Kardemir Karabükspor",1217.39130434783,"Turkish Süper Lig "
"Karlsruher SC",2111.11111111111,"German 2. Bundesliga "
"KAS Eupen",2893.93939393939,"Belgian Jupiler Pro League "
"Kashima Antlers",2948.27586206897,"Japanese J. League Division 1 "
"Kashiwa Reysol",3707.31707317073,"Japanese J. League Division 1 "
"Kasimpaşa SK",3492.06349206349,"Turkish Süper Lig "
"Kawasaki Frontale",2216.21621621622,"Japanese J. League Division 1 "
"Kayserispor",5489.36170212766,"Turkish Süper Lig "
"KFC Uerdingen 05",1352.94117647059,"German 3. Bundesliga "
"Kilmarnock",1449.54128440367,"Scottish Premiership "
"Korona Kielce",1041.66666666667,"Polish T-Mobile Ekstraklasa "
"KRC Genk",5745.61403508772,"Belgian Jupiler Pro League "
"Kristiansund BK",1076.92307692308,"Norwegian Eliteserien "
"Krylya Sovetov Samara",2454.54545454545,"Russian Premier League "
"KSV Cercle Brugge",3580,"Belgian Jupiler Pro League "
"Kuban Krasnodar",2705.88235294118,"Russian Premier League "
"KV Kortrijk",3161.76470588235,"Belgian Jupiler Pro League "
"KV Mechelen",3638.55421686747,"Belgian Jupiler Pro League "
"KV Oostende",4000,"Belgian Jupiler Pro League "
"La Berrichonne de Châteauroux",1266.66666666667,"French Ligue 2 "
"La Equidad",971.014492753623,"Colombian Liga Postobón "
"LA Galaxy",2881.35593220339,"USA Major League Soccer "
"LASK Linz",2619.04761904762,"Austrian Football Bundesliga "
"Latina",864.864864864865,"Italian Serie B "
"Lazio",25308.5106382979,"Italian Serie A "
"Le Havre AC",1644.23076923077,"French Ligue 2 "
"Le Mans FC",1111.11111111111,"French Ligue 2 "
"Lecce",3526.31578947368,"Italian Serie A "
"Lech Poznań",2666.66666666667,"Polish T-Mobile Ekstraklasa "
"Lechia Gdańsk",1632.18390804598,"Polish T-Mobile Ekstraklasa "
"Leeds United",7116.50485436893,"English League Championship "
"Legia Warszawa",4736.84210526316,"Polish T-Mobile Ekstraklasa "
"Leicester City",20000,"English Premier League "
"Leones Negros de la UdeG",0,"Mexican Liga MX "
"Levante UD",10000,"Spain Primera Division "
"Leyton Orient",1150.94339622642,"English League Two "
